country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20M,5M,,,,16M,,,,,5M,5M,45M,1M,31M,4M,11M,11M,10M,35M,29M,2M,27M,26M,33M
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175M,38M,97M,59M,55M,10M,125M,37M,53M,32M,,46M,,7M,22M,8M,,,,4M,1M,8M,3M,18M,22M,12M,1M,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Sweden,38M,45M,44M,13M,22M,32M,56M,55M,60M,36M,251M,530M,123M,15M,75M,123M,70M,54M,55M,263M,158M,130M,125M,117M,224M,214M,322M,233M,515M,403M,231M,156M,149M,103M,111M,196M,347M,102M,336M,386M,359M,895M,163M,515M,294M,531M,388M,333M,455M,409M,660M,696M,477M,386M,339M,179M,265M,80M,155M,172M,286M
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,17M,,,,2M,2M,,0,,,,,178M,46M,1M,29M,31M,,15M,,,,40M,40M,,,0,0,,,,,,,,,3M,,,20M,20M,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7M,7M,,93M,,,,,,,,,,2M,2M,,,
Turkey,,,,,,,,,,,,,,,,,,,,,23M,11M,,,,,,,,,,,,,,3M,3M,0,3M,43M,19M,5M,26M,42M,28M,23M,82M,66M,112M,65M,72M,86M,143M,156M,168M,252M,236M,167M,264M,240M,141M
Uganda,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165M,82M,236M,167M,236M,558M,708M,732M,270M,511M,310M,306M,199M,291M,531M,634M,392M,433M,485M,570M,1.5B,654M,632M,353M,487M,307M,196M,96M,115M
Uruguay,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,
United States,6B,6.3B,6.1B,9.35B,12.3B,11.3B,8.47B,7.25B,8.38B,11.8B,9.03B,11.8B,10.8B,12B,12.8B,15.7B,15.6B,14.4B,14.1B,9.78B,10.7B,13.6B,14B,13.9B,11.9B,10.8B,11.6B,12.2B,11.9B,11.3B,10.7B,12.5B,14.1B,13.8B,11.5B,11.2B,10.9B,14.5B,15.7B,11.5B,7.57B,5.59B,4.89B,5.66B,6.85B,6.79B,7.54B,7.86B,6.81B,6.88B,8.06B,8.94B,9.06B,7.49B,9.6B,9.94B,9.87B,12.1B,9.89B,10.8B,9.37B
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252M,126M,4M,,,,209M,209M,209M,,,,34M,68M,,,,
Venezuela,,,,,,,,,,17M,,,,,,13M,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1M,,7M,,3M,40M,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,0,,,,,,,,,,,,,,,11M,,,,,,,,,,,,,,,,,,,14M,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,6M,,,,,,,,,,,51M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,27M,33M,,,,,,4M,,14M,2M,4M,12M,1M,2M,18M,16M,0,,,39M,39M,1M,,,25M,25M,28M,25M,0,,54M,75M,54M,11M,17M,31M,7M,22M,28M,21M,37M,22M,48M,72M,35M,192M,137M,141M,103M,235M,71M,183M,102M,65M,58M,81M,74M,69M,142M,37M
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,,,,,,,,,,,
